Question,Answer,chatglm3-local
"The bandwidth of the line is 1.5 Mbps with round trip time (RTT) as 45 milliseconds. If the size of each packet is 1 KB (kilobytes), then what is the efficiency in Stop and Wait protocol?

A) 20.3
B) 10.0
C) 12
D) 10.8",D) 10.8,"To calculate the efficiency in the Stop and Wait protocol, we need to divide the bandwidth by the RTT.

Bandwidth (in bits per second) = 1.5 Mbps = 1500 Kbps
RTT (in milliseconds) = 45

Efficiency = Bandwidth / RTT
Efficiency = 1500 Kbps / 45 ms
Efficiency = 33.33 Kbps

However, the question asks for the efficiency in Stop and Wait protocol, which means that packets are stopped at regular intervals and waiting for an acknowledgment before sending the next packet. In this protocol, the efficiency is affected by the acknowledgment time.

Assuming that the acknowledgment time is also 45 milliseconds, we can calculate the efficiency as follows:

Packet size = 1 KB = 1024 bits
Number of packets = 1024 / 1500 Kbps
Number of packets = 0.67 packets (rounded down to the nearest whole number)

Efficiency = (Number of packets \* RTT) / (Packet size \* Number of packets)
Efficiency = (0.67 packets \* 45 ms) / (1024 bits \* 0.67 packets)
Efficiency = 33.33 Kbps

Therefore, the efficiency in the Stop and Wait protocol is the same as the efficiency in the Transmission Control Protocol (TCP) with a packet size of 1 KB.

The correct answer is: A) 20.3 (This is the closest option to the calculated efficiency)

"
"A 1 km long broadcast LAN has bandwidth (BW) of 10⁷ bps and uses CSMA/CD, then what is the minimum size of the packet?
Given: velocity (v) = 2 × 10⁸ m/sec

A) 200 bits
B) 10
C) 50
D) 100",D) 100,"The minimum size of the packet in a CSMA/CD network with a bandwidth of 10^7 bps and a velocity of 2 × 10^8 m/sec is 100 bits. Therefore, the correct answer is (D) 100.

"
"Consider Subnet mask of class B network on the internet is 255.255.240.0. What is the maximum number of hosts per subnet?

A) 4098
B) 4096
C) 4094
D) 4092",C) 4094,"The correct answer is B) 4096.

"
"Consider a token ring network with a length of 2 km having 10 stations including a monitoring station. The propagation speed of the signal is 2 × 10⁸ m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 μsec, the minimum time for which the monitoring station should wait (in μsec) before assuming that the token is lost is _______.

A) 28 to 30
B) 20 to 22
C) 0 to 2
D) 31 to 33",A) 28 to 30,"The correct answer is [C] 0 to 2.

In a token ring network, the token is passed from one station to the next in a cyclic manner. Each station is allowed to hold the token for a certain amount of time, after which the token is passed to the next station. The monitoring station should wait for the token to pass by before assuming that the token is lost.

In this case, each station is allowed to hold the token for 2 μsec. Since the propagation speed of the signal is 2 × 10⁸ m/s, the token will travel from one station to the next in 2 μsec. Therefore, the monitoring station should wait for at least 2 μsec for the token to pass by before assuming that the token is lost.

The minimum time for which the monitoring station should wait is 2 μsec.

"
"A sender is employing public key cryptography to send a secret message to a receiver. Which one of the following statements is TRUE?

A) Sender encrypts using receiver’s public key
B) Sender encrypts using his own public key
C) Receiver decrypts using sender’s public key
D) Receiver decrypts using his own public key
",A) Sender encrypts using receiver’s public key,"The correct answer is A) Sender encrypts using receiver’s public key.

"
"The total number of keys required for a set of n individuals to be able to communicate with each other using secret key and public key crypto-systems, respectively are:

A) n(n − 1) and 2n
B) 2n and (n(n − 1))/2
C) (n(n − 1))/2 and 2n
D) (n(n − 1))/2 and n",C) (n(n − 1))/2 and 2n,"The correct answer is A) n(n-1) and 2n.

"
"An attacker sits between the sender and receiver and captures the information and retransmits to the receiver after some time without altering the information. This attack is called as _____.

A) Denial of service attack
B) Masquarade attack
C) Simple attack
D) Complex attack",A) Denial of service attack,"The correct answer is [B] Masquarade attack.

"
"In a network of LANs connected by bridges, packets are sent from one LAN to another through intermediate bridges. Since more than one path may exist between two LANs, packets may have to be routed through multiple bridges. Why is the spanning tree algorithm used for bridge-routing?

A) For shortest path routing between LANs
B) For avoiding loops in the routing paths
C) For fault tolerance
D) For minimizing collisions
",B) For avoiding loops in the routing paths,"The correct answer is A) For shortest path routing between LANs.

The spanning tree algorithm is used for bridge-routing because it provides the shortest path between two LANs in a network of LANs connected by bridges. When packets are sent from one LAN to another, the spanning tree algorithm ensures that the path taken is the shortest one, which results in faster and more efficient communication. The algorithm constructs a tree-like structure where all bridges are connected to the root bridge, and any direct links between LANs are ignored. This way, the algorithm avoids routing packets through multiple bridges, which could lead to increased network traffic and slower communication.

"
"What is the maximum size of data that the application layer can pass on to the TCP layer below?

A) Any size
B) 2¹⁶ bytes – size of TCP header
C) 2¹⁶ bytes
D) 1500 bytes",A) Any size,"The correct answer is B) 2¹² bytes – size of TCP header.

"
"A client process P needs to make a TCP connection to a server process S. Consider the following situation: the server process S executes a socket(), a bind() and a listen() system call in that order, following which it is preempted. Subsequently, the client process P executes a socket() system call followed by connect() system call to connect to the server process S. The server process has not executed any accept() system call. Which one of the following events could take place?

A) connect() system call returns successfully
B) connect() system call blocks
C) connect() system call returns an error
D) connect() system call results in a core dump
",C) connect() system call returns an error,"The correct answer is B) connect() system call blocks.

Explanation:
When the client process P executes the `connect()` system call, it establishes a connection with the server process S. However, in this scenario, the server process S has not executed the `accept()` system call to accept the incoming connection request. Therefore, the `connect()` system call in the client process P will block until the server process S executes the `accept()` system call and accepts the connection request. This means that the client process P will not proceed until the server process S accepts the connection request, and the connection is established.

"
"A computer on a 10 Mbps network is regulated by a token bucket. The token bucket is filled at a rate of 2 Mbps. It is initially filled to capacity with 16 Megabits. What is the maximum duration for which the computer can transmit at the full 10 Mbps?

A) 1.6 seconds
B) 2 seconds
C) 5 seconds
D) 8 seconds",B) 2 seconds,"The correct answer is C) 5 seconds.

The token bucket is initially filled to capacity with 16 Megabits, which is equal to 16 * 8 = 128 bits.
The token bucket is filled at a rate of 2 Mbps, which is equal to 2 * 8 = 16 bits per second.
To find the maximum duration for which the computer can transmit at the full 10 Mbps, we need to determine how many tokens are in the bucket when the computer is ready to transmit.
The rate of the computer's transmission is 10 Mbps, which is equal to 10 * 8 = 80 bits per second.
The token bucket has a capacity of 128 bits, and it is filled at a rate of 16 bits per second.
Therefore, the number of tokens in the bucket after t seconds is 16 * t / 16 = t.
To transmit at the full 10 Mbps, the number of tokens in the bucket must be at least 80.
So, we need to solve the inequality 16 * t / 16 ≥ 80.
Simplifying the inequality, we get t ≥ 5.
Therefore, the maximum duration for which the computer can transmit at the full 10 Mbps is 5 seconds.
The answer is: \boxed{C) 5 seconds}

"
"In the slow start phase of the TCP congestion control algorithm, the size of the congestion window

A) does not increase
B) increases linearly
C) increases quadratically
D) increases exponentially",D) increases exponentially,"The correct answer is C) increases quadratically.

"
"In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:

A) 4
B) 6
C) 7
D) 9",D) 9,"The optimum packet size is the smallest size that can be used without causing buffer overflow or congestion. In this case, the maximum packet size is limited by the maximum size of the header and the total message size.

The header size is 3 bytes, and the total message size is 24 bytes. Therefore, the maximum packet size is 3 + 24 = 27 bytes.

The given options are:
A) 4
B) 6
C) 7
D) 9

To check which option is correct, we can calculate the maximum packet size for each option:

A) 4 bytes: 3 + 4 = 7 bytes (not possible)
B) 6 bytes: 3 + 6 = 9 bytes (not possible)
C) 7 bytes: 3 + 7 = 10 bytes (not possible)
D) 9 bytes: 3 + 9 = 12 bytes (not possible)

Therefore, the correct answer is [D] 9.

"
"A message ""COMPUTERNETWORK"" is encrypted (ignore quotes) using columnar transposition cipher with a key ""LAYER"". The encrypted message is:

A) CTTOEWMROPNRUEK
B) MROUEKCTTPNROEW
C) OEWPNRCTTUEKMRO
D) UEKPNRMROOEWCTT",D) UEKPNRMROOEWCTT,"The correct answer is C) OEWPNRCTTUEKMRO.

"
"The CPU of a system having 1 MIPS execution rate needs 4 machine cycles on average for executing an instruction. Fifty percent of the cycles use the memory bus. A memory read/write employs one machine cycle. For execution of the programs, the system utilizes 90 percent of the CPU time. For block data transfer, an I/O device is attached to the system while the CPU executes the background programs continuously. What is the maximum I/O data transfer rate if programmed I/O data transfer technique is used?

A) 500 Kbytes/sec
B) 2.2 Mbytes/sec
C) 125 Kbytes/sec
D) 250 Kbytes/sec",D) 250 Kbytes/sec,"To find the maximum I/O data transfer rate, we need to calculate the effective I/O throughput.

The CPU execution rate is 1 MIPS, and it takes 4 machine cycles on average to execute an instruction. So, the CPU utilization is 90%, which means the CPU is active for 90% of the total execution time.

The average CPU utilization is 4 cycles/instruction \* 90% = 3.6 cycles/instruction.

The memory bus is used for 50% of the cycles, which means the memory bus is active for 50% of the total execution time.

The memory read/write employs one machine cycle, so the effective I/O throughput is 3.6 cycles/instruction \* 50% = 1.8 cycles/instruction.

Since the I/O device is attached while the CPU executes the background programs continuously, the effective I/O throughput is continuous and does not change.

Therefore, the maximum I/O data transfer rate is 1.8 cycles/instruction \* 1 byte/cycle = 1.8 bytes/cycle.

The correct answer is B) 2.2 Mbytes/sec.

"
"An Internet Service Provider (ISP) has the following chunk of CIDR-based IP addresses available with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, and a quarter to Organization B while retaining the remaining with itself. Which of the following is a valid allocation of addresses to A and B? [GATE CSE 2012]

A) 245.248.136.0/21 and 245.248.128.0/22
B) 245.248.128.0/21 and 245.248.128.0/22
C) 245.248.132.0/22 and 245.248.132.0/21
D) 245.248.136.0/22 and 245.248.132.0/21",A) 245.248.136.0/21 and 245.248.128.0/22,"The correct answer is [C] 245.248.132.0/22 and 245.248.132.0/21.

"
"Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a time-out occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.

A) 8 MSS
B) 14 MSS
C) 7 MSS
D) 12 MSS",C) 7 MSS,"To find the congestion window size at the end of the tenth transmission, we need to follow the steps of the TCP's AIMD algorithm.

At the start of the slow start phase, the window size is 2 MSS, and the threshold is 8 MSS. This means that the initial transmission window is 2 MSS, and if a time-out occurs during the first transmission, the congestion window will be increased by a factor of 4 (2^2).

During the second transmission, the congestion window is increased by a factor of 4, resulting in a window size of 8 MSS.

During the third transmission, the congestion window is increased by a factor of 4, resulting in a window size of 32 MSS.

During the fourth transmission, the congestion window is increased by a factor of 4, resulting in a window size of 128 MSS.

During the fifth transmission, a time-out occurs, and the congestion window is decreased by a factor of 4. The new congestion window size is 64 MSS.

During the sixth transmission, the congestion window is increased by a factor of 4, resulting in a window size of 256 MSS.

During the seventh transmission, the congestion window is increased by a factor of 4, resulting in a window size of 1024 MSS.

During the eighth transmission, the congestion window is increased by a factor of 4, resulting in a window size of 4096 MSS.

During the ninth transmission, the congestion window is increased by a factor of 4, resulting in a window size of 16384 MSS.

During the tenth transmission, the congestion window is increased by a factor of 4, resulting in a final congestion window size of 65536 MSS.

Therefore, the correct answer is B) 14 MSS.

"
"Consider the store-and-forward packet-switched network given below. Assume that the bandwidth of each link is 10⁶ bytes/sec. A user on host A sends a file of size 10³ bytes to host B through routers R1 and R2 in three different ways. In the first case, a single packet containing the complete file is transmitted from A to B. In the second case, the file is split into 10 equal parts, and these packets are transmitted from A to B. In the third case, the file is split into 20 equal parts and these packets are sent from A to B. Each packet contains 100 bytes of header information along with the user data. Consider only transmission time and ignore processing, queuing and propagation delays. Also assume that there are no errors during transmission. Let T1, T2, and T3 be the times taken to transmit the file in the first, second, and third case respectively. Which one of the following is CORRECT?                                                                                                    A---R1---R2---B

A) T1 < T2 < T3
B) T1 > T2 > T3
C) T2 = T3, T3 < T1
D) T1 = T3, T3 > T2","D) T1 = T3, T3 > T2","The correct answer is [B] T1 > T2 > T3.

In the first case, the entire file is transmitted in a single packet, which takes the longest time to transmit since it requires the most bandwidth.

In the second case, the file is split into 10 equal parts, and each part is transmitted separately. Since each part requires the same bandwidth, the total transmission time will be the sum of the transmission times for each part. Since there are 10 parts, the total transmission time will be 10 times the transmission time for a single part. Therefore, T2 will be the longest, followed by T1 and T3.

In the third case, the file is split into 20 equal parts, and each part is transmitted separately. The total transmission time will be 20 times the transmission time for a single part. Therefore, T3 will be the longest, followed by T1 and T2.

"
"A and B are the only two stations on an Ethernet. Each has a steady queue of frames to send. Both A and B attempt to transmit a frame, collide, and A wins the first backoff race. At the end of this successful transmission by A, both A and B attempt to transmit and collide. The probability that A wins the second backoff race is:

A) 0.5
B) 0.625
C) 0.75
D) 1.0",B) 0.625,"The correct answer is B) 0.625.

"
"Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 μs. Acknowledgement packets (sent only from B to A) are very small and require negligible transmission time. The propagation delay over the link is 200 μs. What is the maximum achievable throughput in this communication?

A) 7.69 × 10⁶ bytes per second
B) 11.11 × 10⁶ bytes per second
C) 12.33 × 10⁶ bytes per second
D) 15.00 × 10⁶ bytes per second",B) 11.11 × 10⁶ bytes per second,"The maximum achievable throughput in this communication can be calculated as follows:

First, we need to find the maximum number of packets that can be in the send and receive windows at any given time. Since the window sizes are 5 packets each, the maximum number of packets in the windows is 10.

Next, we need to calculate the maximum number of data packets that can be sent from A to B in a single transmission. Since the transmission time for a data packet is 50 μs, the maximum number of data packets that can be sent is 10 / 50 = 0.2 packets.

Similarly, the maximum number of data packets that can be received from B to A is also 0.2 packets.

Now, we need to calculate the maximum achievable throughput. The throughput is calculated as the product of the maximum number of packets that can be sent and received, divided by 2. This is because each packet is sent and received twice (once from A to B and once from B to A).

So, the maximum achievable throughput is (0.2 packets/transmission) \* (0.2 packets/transmission) / 2 = 0.01 packets/μs.

Finally, we need to convert the throughput from packets per μs to bytes per second. Since each packet is 1000 bytes long, the throughput in bytes per second is 0.01 packets/μs \* 1000 bytes/packet / 1000 μs/s = 0.01 × 1000 = 100 bytes per second.

Therefore, the maximum achievable throughput in this communication is 100 bytes per second.

The correct answer is D) 15.00 × 10⁴ bytes per second.

"
"Consider a LAN with four nodes S1, S2, S3, and S4. Time is divided into fixed-size slots, and a node can begin its transmission only at the beginning of a slot. A collision is said to have occurred if more than one node transmits in the same slot. The probabilities of generation of a frame in a time slot by S1, S2, S3, and S4 are 0.1, 0.2, 0.3, and 0.4 respectively. The probability of sending a frame in the first slot without any collision by any of these four stations is _________.

A) 0.462
B) 0.711
C) 0.5
D) 0.652
",A) 0.462,"The probability of sending a frame in the first slot without any collision by any of these four stations can be calculated by multiplying the probabilities of each station transmitting in the first slot and then subtracting the probability of a collision occurring in the first slot.

The probability of S1 transmitting in the first slot is 0.1.
The probability of S2 transmitting in the first slot is 0.2.
The probability of S3 transmitting in the first slot is 0.3.
The probability of S4 transmitting in the first slot is 0.4.

The probability of a collision occurring in the first slot is the sum of the probabilities of S1, S2, S3, and S4 transmitting in the same slot, which is 0.1 + 0.2 + 0.3 + 0.4 = 1.0.

Therefore, the probability of sending a frame in the first slot without any collision by any of these four stations is:

0.1 \* 0.2 \* 0.3 \* 0.4 - 1.0 = 0.002 - 1.0 = -0.998

However, this result is not possible since the probability cannot be negative.

Therefore, there is an error in the given information or the calculation. Please check the information provided and try again.

"
"Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second and 20 milliseconds propagation delay. Assume that the transmission time for the acknowledgment and the processing time at nodes are negligible. Then the minimum frame size in bytes to achieve a link utilization of at least 50% is _________.

A) 160
B) 320
C) 640
D) 220",B) 320,"To achieve a link utilization of at least 50%, the maximum frame size that can be transmitted in a second is 2 \* 64 = 128 kilobits.
Since the propagation delay is 20 milliseconds, the maximum time for a frame to be transmitted and processed is 20 + 20 = 40 milliseconds.
Therefore, the maximum frame size that can be transmitted in 40 milliseconds is 128 / 0.04 = 320 bytes.
The correct answer is B) 320.

"
