Question,Answer,chatglm2-local
"A client process P needs to make a TCP connection to a server process S. Consider the following situation: the server process S executes a socket(), a bind() and a listen() system call in that order, following which it is preempted. Subsequently, the client process P executes a socket() system call followed by connect() system call to connect to the server process S. The server process has not executed any accept() system call. Which one of the following events could take place?

A) connect() system call returns successfully
B) connect() system call blocks
C) connect() system call returns an error
D) connect() system call results in a core dump
",C) connect() system call returns an error,"The correct answer is B) connect() system call blocks.

The server process's socket() and bind() system calls have already completed before the client process's connect() system call is executed. However, since the server process is preempted, the connect() system call is not processed. Therefore, the correct answer is B) connect() system call blocks.

"
"A computer on a 10 Mbps network is regulated by a token bucket. The token bucket is filled at a rate of 2 Mbps. It is initially filled to capacity with 16 Megabits. What is the maximum duration for which the computer can transmit at the full 10 Mbps?

A) 1.6 seconds
B) 2 seconds
C) 5 seconds
D) 8 seconds",B) 2 seconds,"The correct answer is B) 2 seconds.

Explanation: The computer can transmit at the full 10 Mbps for 10 Mbps - 2 Mbps = 8 seconds.

"
"In the slow start phase of the TCP congestion control algorithm, the size of the congestion window

A) does not increase
B) increases linearly
C) increases quadratically
D) increases exponentially",D) increases exponentially,"The correct answer is A) does not increase.

In the slow start phase of the TCP congestion control algorithm, the initial value of the congestion window is set to a small value, and it is gradually increased as the initial congestion window is established. As the initial congestion window is increased, the window size is not increased linearly or quadratically, but rather, it increases exponentially. This is to prevent the window from growing too quickly and causing more congestion.

"
"In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:

A) 4
B) 6
C) 7
D) 9",D) 9,"The correct answer is B) 6.

In a packet switching network, the optimum packet size is determined by the size of the largest message that can be transmitted between the source and destination nodes without causing congestion. This is determined by the average round-trip time (RTT) between the source and destination nodes.

For a packet size of 6 bytes, the RTT would be 2 * the RTT between the source and destination nodes. Assuming that the source and destination nodes have an equal round-trip time, this would result in an optimum packet size of 6 bytes.

"
"A message ""COMPUTERNETWORK"" is encrypted (ignore quotes) using columnar transposition cipher with a key ""LAYER"". The encrypted message is:

A) CTTOEWMROPNRUEK
B) MROUEKCTTPNROEW
C) OEWPNRCTTUEKMRO
D) UEKPNRMROOEWCTT",D) UEKPNRMROOEWCTT,"The correct answer is B) MROUEKCTTPNROEW.

Explanation:
The key ""LAYER"" is used for columnar transposition cipher. In this method, the message is encrypted in a columnar format, where each column of the message corresponds to a different layer of the encryption. The key is then applied to each column of the message, using a combination of left and right padding to ensure that the message is properly encrypted.

To decrypt the message, the same key is used in reverse order, applied to each column of the decrypted message. The resulting ciphertext is then the encrypted message, in a columnar format.

Therefore, the correct answer is B) MROUEKCTTPNROEW.

"
"The CPU of a system having 1 MIPS execution rate needs 4 machine cycles on average for executing an instruction. Fifty percent of the cycles use the memory bus. A memory read/write employs one machine cycle. For execution of the programs, the system utilizes 90 percent of the CPU time. For block data transfer, an I/O device is attached to the system while the CPU executes the background programs continuously. What is the maximum I/O data transfer rate if programmed I/O data transfer technique is used?

A) 500 Kbytes/sec
B) 2.2 Mbytes/sec
C) 125 Kbytes/sec
D) 250 Kbytes/sec",D) 250 Kbytes/sec,"The maximum I/O data transfer rate can be calculated as follows:

Number of instructions executed per cycle = 1 MIPS
Number of cycles per instruction = 4
Number of instructions executed = Number of cycles per instruction / 4 = 0.25 MIPS
CPU time for background programs = 90% of the CPU time = 0.9 \* 1 MIPS = 0.9 MIPS
CPU time for I/O operations = (1 - 90%) \* 1 MIPS = 0.1 MIPS
Number of I/O operations per cycle = 1 memory cycle / 2 = 0.5
Number of I/O operations executed per cycle = Number of cycles per instruction \* Number of I/O operations per cycle = 0.25 MIPS \* 0.5 = 0.125 MIPS
Data transfer rate = Number of I/O operations per cycle \* Transfer size = 0.125 MIPS \* 1 MB = 125 Kbytes/sec

So, the correct answer is (C) 125 Kbytes/sec.

"
"An Internet Service Provider (ISP) has the following chunk of CIDR-based IP addresses available with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, and a quarter to Organization B while retaining the remaining with itself. Which of the following is a valid allocation of addresses to A and B? [GATE CSE 2012]

A) 245.248.136.0/21 and 245.248.128.0/22
B) 245.248.128.0/21 and 245.248.128.0/22
C) 245.248.132.0/22 and 245.248.132.0/21
D) 245.248.136.0/22 and 245.248.132.0/21",A) 245.248.136.0/21 and 245.248.128.0/22,"The correct answer is [B] 245.248.128.0/21 and 245.248.128.0/22.

Explanation: The correct allocation of addresses to A and B is to take 245.248.128.0/21 and 245.248.128.0/22, and retain the remaining with itself. This is because the given chunk of IP addresses has a total of 4 chunks and the ISP wants to allocate 2 chunks to A and 2 chunks to B.

"
"Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a time-out occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.

A) 8 MSS
B) 14 MSS
C) 7 MSS
D) 12 MSS",C) 7 MSS,"The correct answer is A) 8 MSS

"
"Consider the store-and-forward packet-switched network given below. Assume that the bandwidth of each link is 10⁶ bytes/sec. A user on host A sends a file of size 10³ bytes to host B through routers R1 and R2 in three different ways. In the first case, a single packet containing the complete file is transmitted from A to B. In the second case, the file is split into 10 equal parts, and these packets are transmitted from A to B. In the third case, the file is split into 20 equal parts and these packets are sent from A to B. Each packet contains 100 bytes of header information along with the user data. Consider only transmission time and ignore processing, queuing and propagation delays. Also assume that there are no errors during transmission. Let T1, T2, and T3 be the times taken to transmit the file in the first, second, and third case respectively. Which one of the following is CORRECT?                                                                                                    A---R1---R2---B

A) T1 < T2 < T3
B) T1 > T2 > T3
C) T2 = T3, T3 < T1
D) T1 = T3, T3 > T2","D) T1 = T3, T3 > T2","The correct answer is A) T1 < T2 < T3.

In the first case, a single packet containing the complete file is transmitted from A to B, which requires a round-trip time of T1 = 2 \* T洲/洲际传输时延 + 2 \* T洲内部传输时延 + 2 \* R1传输时延 + 2 \* R2传输时延 = 2 \* 10⁶ + 2 \* 10⁶ + 2 \* T洲/洲际传输时延 + 2 \* T洲内部传输时延 + 2 \* R1传输时延 + 2 \* R2传输时延.

In the second case, the file is split into 10 equal parts, and these packets are transmitted from A to B, which requires a round-trip time of T2 = 10 \* T洲/洲际传输时延 + 10 \* T洲内部传输时延 + 10 \* R1传输时延 + 10 \* R2传输时延 = 10 \* 10⁶ + 10 \* 10⁶ + 10 \* T洲/洲际传输时延 + 10 \* T洲内部传输时延 + 10 \* R1传输时延 + 10 \* R2传输时延.

In the third case, the file is split into 20 equal parts and these packets are sent from A to B, which requires a round-trip time of T3 = 20 \* T洲/洲际传输时延 + 20 \* T洲内部传输时延 + 20 \* R1传输时延 + 20 \* R2传输时延 = 20 \* 10⁶ + 20 \* 10⁶ + 20 \* T洲/洲际传输时延 + 20 \* T洲内部传输时延 + 20 \* R1传输时延 + 20 \* R2传输时延.

Therefore, T1 < T2 < T3, which is the correct answer.

"
"A and B are the only two stations on an Ethernet. Each has a steady queue of frames to send. Both A and B attempt to transmit a frame, collide, and A wins the first backoff race. At the end of this successful transmission by A, both A and B attempt to transmit and collide. The probability that A wins the second backoff race is:

A) 0.5
B) 0.625
C) 0.75
D) 1.0",B) 0.625,"The correct answer is B) 0.625.

In the second backoff race, both A and B have a 50% chance of winning, as the first backoff race was a random event and the stations are equally matched.

"
"Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 μs. Acknowledgement packets (sent only from B to A) are very small and require negligible transmission time. The propagation delay over the link is 200 μs. What is the maximum achievable throughput in this communication?

A) 7.69 × 10⁶ bytes per second
B) 11.11 × 10⁶ bytes per second
C) 12.33 × 10⁶ bytes per second
D) 15.00 × 10⁶ bytes per second",B) 11.11 × 10⁶ bytes per second,"The maximum achievable throughput can be calculated as follows:
Throughput = (Window size of the receive window - Window size of the send window) / (2 \* propagation delay)
Throughput = (50 - 5) / (2 \* 200)
Throughput = 12.33 × 10⁶ bytes per second

"
"Consider a LAN with four nodes S1, S2, S3, and S4. Time is divided into fixed-size slots, and a node can begin its transmission only at the beginning of a slot. A collision is said to have occurred if more than one node transmits in the same slot. The probabilities of generation of a frame in a time slot by S1, S2, S3, and S4 are 0.1, 0.2, 0.3, and 0.4 respectively. The probability of sending a frame in the first slot without any collision by any of these four stations is _________.

A) 0.462
B) 0.711
C) 0.5
D) 0.652
",A) 0.462,"The correct answer is C) 0.5.

The probability of sending a frame in the first slot without any collision by any of these four stations is (0.1 + 0.2 + 0.3 + 0.4) = 0.8.
Since each station has a probability of 0.4 of not transmitting, the probability of all four stations not transmitting in the first slot is (0.4)^4 = 0.064.
Thus, the probability of sending a frame in the first slot without any collision by any of these four stations is 1 - 0.064 = 0.936.
Since there are four stations, the probability of sending a frame without any collision by any one of them is 0.936 / 4 = 0.234.
Thus, the probability of sending a frame in the first slot without any collision by any of these four stations is 0.234 \* 4 = 0.936.

Answer: The correct answer is C) 0.5.

"
"Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second and 20 milliseconds propagation delay. Assume that the transmission time for the acknowledgment and the processing time at nodes are negligible. Then the minimum frame size in bytes to achieve a link utilization of at least 50% is _________.

A) 160
B) 320
C) 640
D) 220",B) 320,"The minimum frame size in bytes to achieve a link utilization of at least 50% is:

64 bytes / 2 = 32 bytes

This is because with a bit rate of 64 kilobits per second and a 20 milliseconds propagation delay, a transmission time of 20 milliseconds is equivalent to a delay of 20/1000 = 0.02 seconds. Thus, a minimum of 32 bytes of frame size is required to ensure that the link is not idle for more than 32 milliseconds.

"
"Consider a simplified time-slotted MAC protocol, where each host always has data to send and transmits with probability p = 0.2 in every slot. There is no backoff, and one frame can be transmitted in one slot. If more than one host transmits in the same slot, then the transmissions are unsuccessful due to collision. What is the maximum number of hosts which this protocol can support, if each host has to be provided a minimum throughput of 0.16 frames per time slot?

A) 1
B) 2
C) 3
D) 4",B) 2,"The correct answer is B) 2

This protocol supports 2 hosts because each host has a minimum throughput of 0.16 frames per time slot, and there are 2 slots per host. Each host can transmit 0.16 frames per time slot, so both hosts can transmit a total of 0.32 frames per time slot. The protocol supports more than one host because there is no backoff and each host has a probability of transmitting with probability p = 0.2. In this case, 0.32 / 0.2 = 1.6 is the maximum number of hosts that can be supported. However, each host needs to transmit a minimum of 0.16 frames per time slot, so the maximum number of hosts is reduced to 2.

"
"Consider the following message M = 1010001101. The cyclic redundancy check (CRC) for this message using the divisor polynomial x⁵ + x⁴ + x² + 1 is :

A) 01110
B) 01011
C) 10101
D) 10110",A) 01110,"The correct answer is B) 01011.

"
"A sender uses the Stop-and-Wait ARQ protocol for reliable transmission of frames. Frames are of size 1000 bytes and the transmission rate at the sender is 80 Kbps (1 Kbps = 1000 bits/second). The size of an acknowledgement is 100 bytes and the transmission rate at the receiver is 8 Kbps. The one-way propagation delay is 100 milliseconds.

Assuming no frame is lost, the sender throughput is __________ bytes/second.

A) 2500
B) 2000
C) 1500
D) 500
",A) 2500,"The correct answer is C) 1500.

The sender's throughput can be calculated as follows:
Throughput = 2 * (Data size / Propagation delay)
Throughput = 2 * (1000 / 100)
Throughput = 2000 bytes/second

Note that this is a simplified calculation that assumes no loss of frames and constant transmission rates. In practice, the actual throughput may vary due to factors such as packet loss, latency, and errors.

"
"A firewall is to be configured to allow hosts in a private network to freely open TCP connections and send packets on open connections. However, it will only allow external hosts to send packets on existing open TCP connections or connections that are being opened (by internal hosts) but not allow them to open TCP connections to hosts in the private network. To achieve this, the minimum capability of the firewall should be that of:

A) A combinational circuit
B) A finite automaton
C) A pushdown automaton with one stack
D) A pushdown automaton with two stacks",D) A pushdown automaton with two stacks,"The correct answer is C) A pushdown automaton with one stack.

"
"In a network virtualization environment using NFV (Network Functions Virtualization) and SDN (Software-Defined Networking), a newly deployed intrusion detection engine inspects encapsulated traffic (VXLAN, GRE) at scale. Which challenge is most likely to degrade the engine’s effectiveness?

A) The engine’s inability to parse IPv6 extension headers
B) Excessive VLAN tag rewriting at the hypervisor layer
C) Frequent changes in the encapsulation header fields that obfuscate payload inspection
D) Strict rate limiting on the control plane traffic between SDN controller and NFV orchestrator",C) Frequent changes in the encapsulation header fields that obfuscate payload inspection,"The correct answer is C) Frequent changes in the encapsulation header fields that obfuscate payload inspection.

Explanation:

NFV and SDN technologies are designed to abstract the complexity of network functions, enabling agnostic deployment of network services over a network infrastructure. However, the use of VXLAN and GRE encapsulation headers can obfuscate the payload inspection capabilities of the intrusion detection engine. VXLAN and GRE encapsulation headers are used to encapsulate traffic between different network layers, making it difficult for the engine to inspect the payload of the traffic. This can lead to a degradation in the effectiveness of the intrusion detection engine.

"
"Which of the following IP addresses can be used in a WAN?

A) 10.0.0.1
B) 172.16.0.10
C) 15.1.5.6
D) None
",C) 15.1.5.6,"The correct answer is C) 15.1.5.6.

"
"A novel cryptographic protocol for end-to-end security is proposed, combining elliptic-curve Diffie-Hellman key exchange with advanced homomorphic encryption for data payloads. Which bottleneck is most critical to address for practical real-time communication?

A) The ephemeral key generation time for elliptic-curve keys
B) The complexity of group operations in the homomorphic domain leading to high computational overhead
C) The upper bound on the public key size for elliptic-curve systems
D) The necessity to store session keys indefinitely to maintain homomorphism",B) The complexity of group operations in the homomorphic domain leading to high computational overhead,"The correct answer is B) The complexity of group operations in the homomorphic domain leading to high computational overhead.

"
"If you want to connect your home computer so that you can view your school's website, in addition to your computer and modem you will need

A) DSL, a browser, and the correct protocols
B) An ISDN line, Windows, and an ISP
C) Both an ISDN and DSL line and a browser
D) An ISP, browser, and your school's URL","A) DSL, a browser, and the correct protocols","The correct answer is C) Both an ISDN and DSL line and a browser.

To connect your home computer to your school's website, you will need both an ISDN (Internet Service Provider) line and a DSL (Digital Subscriber Line) line. You will also need a browser to access the website.

ISDN line provides you with internet access using telephone lines, while DSL line provides you with internet access using data transmission over telephone lines. Both options will allow you to access the website from your home computer.

Additionally, you will need to have the correct protocols configured on your computer to connect to the ISDN and DSL lines. This will typically involve installing and configuring a modem on your computer.

An ISP is a company that provides internet services to customers, and your school's URL is the address of the website you want to access. However, these are not the tools you will need to access the website from your home computer.

"
"Host A sends a UDP datagram containing 8880 bytes of user data to host B over an Ethernet LAN. Ethernet frames may carry data up to 1500 bytes (i.e., MTU = 1500 bytes). The size of the UDP header is 8 bytes and the size of the IP header is 20 bytes. There is no option field in the IP header. How many total number of IP fragments will be transmitted and what will be the contents of the offset field in the last fragment?

A) 6 and 925
B) 6 and 7400
C) 7 and 1110
D) 7 and 8880",C) 7 and 1110,"The total number of IP fragments will be 7, as 8880 bytes of data divided by the maximum amount of data that can be carried in an Ethernet frame (1500 bytes) is 5.733, and 1 is rounded up to 2. The offset field in the last fragment will be 8880 - 1500 = 7400 bytes.

"
"A serial transmission T₁ uses 8 information bits, 2 start bits, 1 stop bit, and 1 parity bit for each character. A synchronous transmission T₂ uses 3 eight-bit sync characters followed by 30 eight-bit information characters. If the bit rate is 1200 bits/second in both cases, what are the transfer rates of T₁ and T₂?

A) 100 characters/sec, 153 characters/sec
B) 80 characters/sec, 136 characters/sec
C) 100 characters/sec, 136 characters/sec
D) 80 characters/sec, 153 characters/sec
","C) 100 characters/sec, 136 characters/sec","The correct answer is C) 100 characters/sec, 136 characters/sec.

Explanation: Both T₁ and T₂ have a bit rate of 1200 bits/second. Since T₁ uses 8 information bits, 2 start bits, 1 stop bit, and 1 parity bit for each character, it requires a total of 8 \* 2 + 2 + 1 = 19 bits to transmit each character. Therefore, the transfer rate of T₁ is 1200 / 19 = 64 characters/second.

Similarly, since T₂ uses 3 synchronous eight-bit sync characters followed by 30 information characters, it requires a total of 3 \* 8 + 30 = 41 bits to transmit each character. Therefore, the transfer rate of T₂ is 1200 / 41 = 29.55 characters/second.

Therefore, the correct answer is C) 100 characters/sec, 136 characters/sec.

"
