Question,Answer,mistral-local
"The bandwidth of the line is 1.5 Mbps with round trip time (RTT) as 45 milliseconds. If the size of each packet is 1 KB (kilobytes), then what is the efficiency in Stop and Wait protocol?

A) 20.3
B) 10.0
C) 12
D) 10.8",D) 10.8,"The efficiency in Stop and Wait protocol is given by the formula:

Efficiency = (1 / (2 \* RTT)) \* (1 / Packet size)

Given the bandwidth is 1.5 Mbps with RTT as 45 milliseconds and packet size as 1 KB, we can calculate the efficiency as follows:

Efficiency = (1 / (2 \* 45)) \* (1 / 1024)
Efficiency = (1 / 90) \* (1 / 1024)
Efficiency = 0.000102

The correct answer is D) 10.8.

"
"A 1 km long broadcast LAN has bandwidth (BW) of 10⁷ bps and uses CSMA/CD, then what is the minimum size of the packet?
Given: velocity (v) = 2 × 10⁸ m/sec

A) 200 bits
B) 10
C) 50
D) 100",D) 100,"The correct answer is B) 10. 

Explanation: 

To calculate the minimum size of the packet on a LAN, we can use the formula: packet size = velocity x transmission time. In this case, the velocity of the LAN is given as 2 × 10⁸ m/sec, which means the transmission time should be as small as possible to make the packet size the smallest. 

The transmission time is determined by the bandwidth, the number of data bits, and the physical layer's maximum transmission rate. Since the LAN has a bandwidth of 10⁷ bps, the maximum data rate is given by: 

rate = BW = 10⁷ bps 

Using the formula for transmission time, we can calculate the minimum transmission time for a single bit: 

time = 1 / rate = 1 / 10⁷ bps = 1 nsec 

Therefore, the minimum size of the packet for this LAN is: 

packet size = velocity x transmission time = 2 × 10⁸ m/sec x 1 nsec = 2 bits 

So, the correct answer is B) 10.

"
"Consider Subnet mask of class B network on the internet is 255.255.240.0. What is the maximum number of hosts per subnet?

A) 4098
B) 4096
C) 4094
D) 4092",C) 4094,"The correct answer is B) 4096.

"
"Consider a token ring network with a length of 2 km having 10 stations including a monitoring station. The propagation speed of the signal is 2 × 10⁸ m/s and the token transmission time is ignored. If each station is allowed to hold the token for 2 μsec, the minimum time for which the monitoring station should wait (in μsec) before assuming that the token is lost is _______.

A) 28 to 30
B) 20 to 22
C) 0 to 2
D) 31 to 33",A) 28 to 30,"The correct answer is C) 0 to 2:

In a token ring network, each station in turn holds the token and sends it along the ring to the next station. The propagation speed of the signal is the speed at which the token can travel from one station to another, which is 2 × 10⁸ m/s in this case.

If a station is allowed to hold the token for 2 μsec, this means that it takes 2 μsec for the token to travel from that station to the next station, assuming no delays or interference. Therefore, if the monitoring station does not receive the token within its expected holding time, it can assume that the token has been lost.

Assuming that the monitoring station is located at the end of the ring, the minimum time for which it should wait before assuming that the token is lost is the sum of the propagation delay and the maximum allowable holding time for each token.

In this case, the maximum allowable holding time for each token is 2 μsec, and the propagation delay is 2 × 10⁸ m/s / 300,000,000 m/s = 0.000002 μsec.

Therefore, the minimum time for which the monitoring station should wait before assuming that the token is lost is 0.000002 μsec + 2 μsec = 2.000002 μsec, which can be simplified to 2 μsec.

Since each station sends the token every 2 μsec, the monitoring station should wait at most 2 μsec after sending or receiving the token before starting its next operation.

Therefore, the correct answer is C) 0 to 2.

"
"A sender is employing public key cryptography to send a secret message to a receiver. Which one of the following statements is TRUE?

A) Sender encrypts using receiver’s public key
B) Sender encrypts using his own public key
C) Receiver decrypts using sender’s public key
D) Receiver decrypts using his own public key
",A) Sender encrypts using receiver’s public key,"The correct answer is B) Sender encrypts using his own public key.

"
"The total number of keys required for a set of n individuals to be able to communicate with each other using secret key and public key crypto-systems, respectively are:

A) n(n − 1) and 2n
B) 2n and (n(n − 1))/2
C) (n(n − 1))/2 and 2n
D) (n(n − 1))/2 and n",C) (n(n − 1))/2 and 2n,"The correct answer is C) (n(n-1))/2 and 2n.

The total number of secret keys required for a set of n individuals to communicate with each other using secret key and public key crypto-systems, respectively are:
n(n-1) for secret keys, and 2n for public keys. Therefore, the correct answer is (n(n-1))/2 and 2n.

"
"An attacker sits between the sender and receiver and captures the information and retransmits to the receiver after some time without altering the information. This attack is called as _____.

A) Denial of service attack
B) Masquarade attack
C) Simple attack
D) Complex attack",A) Denial of service attack,"The correct answer is B) Masquarade attack.

"
"In a network of LANs connected by bridges, packets are sent from one LAN to another through intermediate bridges. Since more than one path may exist between two LANs, packets may have to be routed through multiple bridges. Why is the spanning tree algorithm used for bridge-routing?

A) For shortest path routing between LANs
B) For avoiding loops in the routing paths
C) For fault tolerance
D) For minimizing collisions
",B) For avoiding loops in the routing paths,"The correct answer is B) For avoiding loops in the routing paths. 

The spanning tree algorithm is used for bridge-routing to ensure that there are no loops in the routing paths. Loops can occur when multiple paths exist between two LANs, and packets are sent back and forth between these paths indefinitely. The spanning tree algorithm works by selecting one of these paths as the shortest path, effectively preventing any further traffic from flowing through the other paths. This ensures that traffic flows efficiently through the network without getting caught in infinite loops.

"
"What is the maximum size of data that the application layer can pass on to the TCP layer below?

A) Any size
B) 2¹⁶ bytes – size of TCP header
C) 2¹⁶ bytes
D) 1500 bytes",A) Any size,"The correct answer is D: 1500 bytes.

"
"A client process P needs to make a TCP connection to a server process S. Consider the following situation: the server process S executes a socket(), a bind() and a listen() system call in that order, following which it is preempted. Subsequently, the client process P executes a socket() system call followed by connect() system call to connect to the server process S. The server process has not executed any accept() system call. Which one of the following events could take place?

A) connect() system call returns successfully
B) connect() system call blocks
C) connect() system call returns an error
D) connect() system call results in a core dump
",C) connect() system call returns an error,"The correct answer is C) connect() system call returns an error.

The reason that connect() system call returns an error is that the server process S has not executed any accept() system call. The accept() system call allows a server to wait for incoming connections and return a unique file descriptor (FD) to the client process for each connection.

Without executing an accept() system call, the server process S cannot establish a connection with the client process P. Therefore, when P tries to connect to S, the accept() system call is not waiting for an incoming connection on S's port, and P will receive an error status from connect().

"
"A computer on a 10 Mbps network is regulated by a token bucket. The token bucket is filled at a rate of 2 Mbps. It is initially filled to capacity with 16 Megabits. What is the maximum duration for which the computer can transmit at the full 10 Mbps?

A) 1.6 seconds
B) 2 seconds
C) 5 seconds
D) 8 seconds",B) 2 seconds,"A) The maximum duration for which the computer can transmit at the full 10 Mbps is 1.6 seconds.

Explanation: The token bucket is initially filled with 16 Megabits, which is equivalent to 16 x 1024 = 16,777,216 tokens (assuming 1 token = 1 byte).

At a rate of 2 Mbps, the token bucket is refilled with 2,000,000 tokens every second. To be able to transmit at the full 10 Mbps, the computer needs to use one token per bit (10 Mbps = 10 x 7 = 70 tokens per second).

With 16,777,216 tokens in the bucket, the computer can transmit:

16,777,216 tokens / 70 tokens per second = 241.16 seconds

However, since the token bucket is refilled with 2,000,000 tokens every second, the computer can only transmit for a maximum of:

241.16 seconds / 1.6 seconds per token refill = 150.4 tokens

Since the token bucket holds only 160,000 tokens when it is full (16,777,216 tokens / 1024 bytes per token), the computer can only transmit for a maximum of:

160,000 tokens / 50 tokens per second = 3,200 seconds

Therefore, the maximum duration for which the computer can transmit at the full 10 Mbps is 8 seconds (Option D is the correct answer).

"
"In the slow start phase of the TCP congestion control algorithm, the size of the congestion window

A) does not increase
B) increases linearly
C) increases quadratically
D) increases exponentially",D) increases exponentially,"The correct answer is [D, increases exponentially].

"
"In a packet switching network, packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the optimum packet size is:

A) 4
B) 6
C) 7
D) 9",D) 9,"The correct answer is B) 6.

Explanation:

In a packet switching network, the packets are routed from source to destination along a single path having two intermediate nodes. If the message size is 24 bytes and each packet contains a header of 3 bytes, then the total number of bytes in a packet would be the sum of the header and the message size, which is 24 + 3 = 27 bytes.

To ensure efficient packet switching, the network uses a flow control mechanism that ensures that packets of a specific size are not lost. To do this, the network divides the message into smaller packets of the same size.

The maximum packet size that can be transmitted without losing any packets is 27 bytes. However, the network needs to ensure that the packets do not exceed the maximum transmission capacity of the network links. To do this, the network may impose a maximum packet size constraint of 7 bytes, thereby ensuring that packets of size 7 bytes are not lost due to network congestion.

Therefore, the optimum packet size is 7 bytes.

"
"A message ""COMPUTERNETWORK"" is encrypted (ignore quotes) using columnar transposition cipher with a key ""LAYER"". The encrypted message is:

A) CTTOEWMROPNRUEK
B) MROUEKCTTPNROEW
C) OEWPNRCTTUEKMRO
D) UEKPNRMROOEWCTT",D) UEKPNRMROOEWCTT,"The correct answer is: ""The encrypted message is CTTOEWMROPNRUEK"".

"
"The CPU of a system having 1 MIPS execution rate needs 4 machine cycles on average for executing an instruction. Fifty percent of the cycles use the memory bus. A memory read/write employs one machine cycle. For execution of the programs, the system utilizes 90 percent of the CPU time. For block data transfer, an I/O device is attached to the system while the CPU executes the background programs continuously. What is the maximum I/O data transfer rate if programmed I/O data transfer technique is used?

A) 500 Kbytes/sec
B) 2.2 Mbytes/sec
C) 125 Kbytes/sec
D) 250 Kbytes/sec",D) 250 Kbytes/sec,"The correct answer is B) 2.2 Mbytes/sec.

Explanation:

1. The CPU of the system has an execution rate of 1 MIPS and takes 4 machine cycles to execute an instruction on average. Therefore, the total number of instructions that can be executed in a second is 1 MIPS / 4 machine cycles = 0.25 million instructions per second.
2. Fifty percent of the CPU cycles are used for memory operations, which take one machine cycle each. Therefore, the total number of memory operations per second is 0.5 x 0.25 million instructions per second = 125,000 memory operations per second.
3. If programmed I/O data transfer technique is used, the CPU can execute the background programs continuously while the I/O device is attached to the system. This means that the I/O device can transfer data to/from the CPU at the same time as the CPU executes its programs.
4. The CPU can execute 1 million instructions per second, so it can handle I/O data transfer for 1000 I/O operations per second.
5. Assuming an I/O transfer rate of 1 Kbyte per I/O operation, the maximum I/O data transfer rate is 1000 I/O operations per second x 1 Kbyte per I/O operation = 1 Mbyte/sec.
6. However, as 50 percent of the CPU cycles are used for memory operations, we can calculate the time that the CPU spends on I/O operations per second by multiplying the total number of memory operations per second by 50 percent: 125,000 memory operations per second x 0.5 = 62,500 I/O operations per second.
7. To make the most of the I/O bandwidth, we can use a programmed I/O data transfer technique that allows the CPU to transfer data to/from the I/O device asynchronously with its program execution. This means that the CPU can execute program instructions while waiting for data to be transferred from/to the I/O device, thereby increasing the I/O data transfer rate.
8. If we program the I/O operations to be executed in parallel with the program execution, we can increase the maximum I/O data transfer rate by a factor of two, i.e., we can transfer 2 Mbytes/sec of data.
9. Therefore, the correct answer is B) 2.2 Mbytes/sec.

"
"An Internet Service Provider (ISP) has the following chunk of CIDR-based IP addresses available with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, and a quarter to Organization B while retaining the remaining with itself. Which of the following is a valid allocation of addresses to A and B? [GATE CSE 2012]

A) 245.248.136.0/21 and 245.248.128.0/22
B) 245.248.128.0/21 and 245.248.128.0/22
C) 245.248.132.0/22 and 245.248.132.0/21
D) 245.248.136.0/22 and 245.248.132.0/21",A) 245.248.136.0/21 and 245.248.128.0/22,"The correct answer is C) 245.248.132.0/22 and 245.248.132.0/21.

Explanation:

* Organization A will receive half of the IP addresses, and Organization B will receive a quarter.
* Half of 245.248.128.0/20 is 245.248.128.0/21, which corresponds to the IP address range 245.248.128.1 to 245.248.128.126.
* A quarter of 245.248.128.0/20 is 245.248.128.0/22, which corresponds to the IP address range 245.248.128.128 to 245.248.128.159.
* Therefore, the ISP will retain the remaining IP addresses from 245.248.128.130 to 245.248.128.159.

"
"Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a time-out occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.

A) 8 MSS
B) 14 MSS
C) 7 MSS
D) 12 MSS",C) 7 MSS,"The correct answer is C) 7 MSS:
AIMD algorithm works by adding a congestion window to the sender side's sliding window. At each transmission, the sender selects packets from the sliding window to forward. The number of packets it selects is defined by the congestion window size.
In the slow start phase of the TCP, the congestion window size starts at 2 MSS and is multiplied by 2 at each successful transmission. However, if a time-out occurs, the congestion window is decreased by half (that is, it is divided by 2) for each subsequent unsuccessful transmission. In the tenth transmission, the sender has sent 5 packets in the previous 4 transmissions, resulting in a total of 9 packets in the sliding window. The congestion window size at the end of the tenth transmission will be given by:
```
congestion window size = 2 * 2 * 2 * 2 * 2 * 9 / 2
congestion window size = 2^5 
congestion window size = 32 
congestion window size = 2^5 
congestion window size = 7 MSS 
```
Therefore, the correct answer is C) 7 MSS.

"
"Consider the store-and-forward packet-switched network given below. Assume that the bandwidth of each link is 10⁶ bytes/sec. A user on host A sends a file of size 10³ bytes to host B through routers R1 and R2 in three different ways. In the first case, a single packet containing the complete file is transmitted from A to B. In the second case, the file is split into 10 equal parts, and these packets are transmitted from A to B. In the third case, the file is split into 20 equal parts and these packets are sent from A to B. Each packet contains 100 bytes of header information along with the user data. Consider only transmission time and ignore processing, queuing and propagation delays. Also assume that there are no errors during transmission. Let T1, T2, and T3 be the times taken to transmit the file in the first, second, and third case respectively. Which one of the following is CORRECT?                                                                                                    A---R1---R2---B

A) T1 < T2 < T3
B) T1 > T2 > T3
C) T2 = T3, T3 < T1
D) T1 = T3, T3 > T2","D) T1 = T3, T3 > T2","The correct answer is C) T2 = T3, T3 < T1.

In the first case, where a single packet is used, the transmission time is the time to transmit the complete file size (10³ bits) divided by the bandwidth (10⁶ bits/sec), which gives T1 = 103/10^6 = 1/1000 seconds.

In the second case, where the file is split into 10 equal parts, the transmission time is the time to transmit 10 packets, each of size (10³/10)/10^6 = 1/100 seconds. This gives T2 = 10/1000 = 1/100 seconds.

In the third case, where the file is split into 20 equal parts, the transmission time is the time to transmit 20 packets, each of size (10³/20)/10^6 = 1/500 seconds. This gives T3 = 20/1000 = 1/50 seconds.

Therefore, the correct ordering is T1 < T2 = T3 < T2.

"
"A and B are the only two stations on an Ethernet. Each has a steady queue of frames to send. Both A and B attempt to transmit a frame, collide, and A wins the first backoff race. At the end of this successful transmission by A, both A and B attempt to transmit and collide. The probability that A wins the second backoff race is:

A) 0.5
B) 0.625
C) 0.75
D) 1.0",B) 0.625,"The correct answer is C) 0.75.

Explanation:

In the second collision, the probability of A winning is dependent on the probability of both collisions occurring. Let's assume that the first collision had a probability of 0.5 (which is half the probability of two independent events occurring). This means that at the end of the first successful transmission by A, the probability of both stations attempting to transmit (and colliding) again is 0.5 x 0.5 = 0.25. Since the second collision occurs after a random delay from 0 to 2^n - 1 milliseconds due to the backoff algorithm, where n is the maximum number of retransmissions allowed, the probability of A winning the second collision will be:

P(A wins at the second collision) = P(A wins in time T <= 2^n-1)

where T is a random variable between 0 to 2^n-1 milliseconds.

Using the above formula, we can estimate the probability of A winning the second collision to be around 0.75 (3.75% chance). Therefore, the correct answer is C) 0.75.

"
"Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 μs. Acknowledgement packets (sent only from B to A) are very small and require negligible transmission time. The propagation delay over the link is 200 μs. What is the maximum achievable throughput in this communication?

A) 7.69 × 10⁶ bytes per second
B) 11.11 × 10⁶ bytes per second
C) 12.33 × 10⁶ bytes per second
D) 15.00 × 10⁶ bytes per second",B) 11.11 × 10⁶ bytes per second,"The correct answer is: 

B) 11.11 × 10⁶ bytes per second 

Explanation: 
We are given a full duplex link with a sliding window protocol. A and B have a send and receive window size of 5 packets each. The transmission time for a 1000-byte data packet is 50 μs and the propagation delay over the link is 200 μs. 

Let the maximum achievable throughput be T bits per second. This would mean that the average time at which a bit is transmitted over the link is 1/T seconds.

To calculate the throughput, we need to find the time required for sending one window of data and acknowledgement packets. 

Since the window size is 5 packets, the time required to send five packets is 5 x transmission time/packet = 5 x 50 μs/packet = 250 μs.

Similarly, the time required to send one acknowledgement packet is negligible, say 10 μs.

The time required for propagation delay is 200 μs.

So, the total time required to send one window is 250 μs (the time required to send the data packets) + 10 μs (the time required to send the acknowledgement packet) + 200 μs (the propagation delay).

The sender can send a new window after this time period. Since the average time at which a bit is transmitted over the link is 1/T seconds, we can say that:

1/T = 250 μs + 10 μs + 200 μs

1/T = 350 μs

T = 1/350 μs = 2.857 × 108 bytes per second

Therefore, the maximum achievable throughput is 2.857 × 108 bytes per second, which can be simplified to 11.11 × 106 bits per second.

"
"Consider a LAN with four nodes S1, S2, S3, and S4. Time is divided into fixed-size slots, and a node can begin its transmission only at the beginning of a slot. A collision is said to have occurred if more than one node transmits in the same slot. The probabilities of generation of a frame in a time slot by S1, S2, S3, and S4 are 0.1, 0.2, 0.3, and 0.4 respectively. The probability of sending a frame in the first slot without any collision by any of these four stations is _________.

A) 0.462
B) 0.711
C) 0.5
D) 0.652
",A) 0.462,"The correct answer is [A) 0.462]:

Let's first calculate the probability of no collision in the first slot for each station:

* S1: 0.1
* S2: 0.2
* S3: 0.3
* S4: 0.4

To calculate the probability of no collision for all stations, we multiply the probabilities of individual stations:

0.1 x 0.2 x 0.3 x 0.4 = 0.0024

Finally, to find the probability of no collision in the first slot, we can exponentiate the probability of no collision for all stations:

0.0024^(1/4) = 0.0024^0.25 = 0.462 (rounded to 5 decimal places)

The answer is [A) 0.462].

"
"Suppose that the stop-and-wait protocol is used on a link with a bit rate of 64 kilobits per second and 20 milliseconds propagation delay. Assume that the transmission time for the acknowledgment and the processing time at nodes are negligible. Then the minimum frame size in bytes to achieve a link utilization of at least 50% is _________.

A) 160
B) 320
C) 640
D) 220",B) 320,"The correct answer is B) 320.

Here's the reasoning: 

To calculate the minimum frame size required to achieve a link utilization of at least 50%, we need to use the following formula:

Minimum Frame Size (in bytes) = (Link Bandwidth × Transmission Time × 2) × Frame Ratio

In this case, the link bandwidth is 64 kilobits per second or 64,000 bps, and the transmission time is 20 milliseconds or 0.2 seconds. The frame ratio is a constant representing the overhead caused by the stop-and-wait protocol, which is typically set to 0.1 (or 10%) for a conservative estimate.

Substituting these values into the formula, we get:

Minimum Frame Size (in bytes) = (64,000 bps × 0.2 s × 2) × 0.1

= 4 × 0.1 × 2

= 0.8 bytes

Converting to kilobytes, this is 0.0008 KB or 800 bytes.

Therefore, the correct answer is B) 320.

"
"Consider a simplified time-slotted MAC protocol, where each host always has data to send and transmits with probability p = 0.2 in every slot. There is no backoff, and one frame can be transmitted in one slot. If more than one host transmits in the same slot, then the transmissions are unsuccessful due to collision. What is the maximum number of hosts which this protocol can support, if each host has to be provided a minimum throughput of 0.16 frames per time slot?

A) 1
B) 2
C) 3
D) 4",B) 2,"The correct answer is D) 4.

To achieve a minimum throughput of 0.16 frames per time slot for each host, there can be at most 4 hosts transmitting in different slots. 

Assume there are fewer than 4 hosts. Let k = 1, 2, 3 be the number of hosts. 

If there is 1 host (k=1), then each host has a throughput of 1/p = 5 frames per time slot. 

If there are 2 hosts (k=2), then each host's throughput is 3/2p = 3.75 frames per time slot. 

If there are 3 hosts (k=3), then each host's throughput is 7p/3 ≈ 1.87 frames per time slot. 

If there are 4 hosts (k=4), then each host's throughput is p = 0.2 frames per time slot. 

Since 4 hosts' throughput is the same as each host's minimum throughput, we can conclude that a maximum of 4 hosts can be supported by this protocol.

"
"Consider the following message M = 1010001101. The cyclic redundancy check (CRC) for this message using the divisor polynomial x⁵ + x⁴ + x² + 1 is :

A) 01110
B) 01011
C) 10101
D) 10110",A) 01110,"The correct answer is: ""The correct answer is 10110"".

"
